,coursename
0,心理测量
1,新能源与环境
2,"植物的""智慧""：植物的适应性进化(核心通识)"
3,中国传统文化十讲(核心通识)
4,低碳城市与绿色能源技术(核心通识)
5,运动营养学
6,跨文化交际和中国文化传播(核心通识)
7,宏观经济学(核心通识)
8,跨文化交流与管理(核心通识)
9,中国传统文化十讲(核心通识)
10,化学与可持续发展
11,拉丁文入门(核心通识)
12,水的多学科视角
13,城市安全与应急管理概论
14,慢性疾病的初级卫生保健(核心通识)
15,"植物的""智慧""：植物的适应性进化(核心通识)"
16,高校保健
17,西方文学经典与跨艺术再现
18,媒介与社会(核心通识)
19,科技论文写作与演讲规范和技巧
20,美学与批评(核心通识)
21,肿瘤学概论(核心通识)
22,昆虫世界与人类社会(核心通识)
23,地球资源学(核心通识)
24,今日物理(核心通识)
25,投资项目评估(核心通识)
26,运动营养学
27,Python程序设计基础
28,城市安全与应急管理概论
29,健身
30,游泳
31,城市安全与应急管理概论
32,大众文化导论(核心通识)
33,跨文化交际和中国文化传播(核心通识)
34,大学生健康
35,人际沟通与人类关系发展(核心通识)
36,律师初阶
37,如何上大学
38,绘画造型基础
39,中国经济
40,宏观经济学(核心通识)
41,水的多学科视角
42,游泳
43,"植物的""智慧""：植物的适应性进化(核心通识)"
44,人际沟通与人类关系发展(核心通识)
45,大学生健康
46,俄罗斯文明进程(核心通识)
47,中国传统文化十讲(核心通识)
48,陨石学(核心)
49,法学入门
50,水生动物营养与饲料科学(核心通识)
51,应用超级计算(核心通识)
52,Python与计算生物学
53,中国书法赏析与体验
54,葡语国家社会文化
55,太阳能技术概论(核心通识)
56,大学生体质健康及个人运动处方实施
57,物理学史(核心通识)
58,美学与批评(核心通识)
59,Haskell 函数程序设计简介
60,全球变化(核心通识)
61,水生动物营养与饲料科学(核心通识)
62,古代小说经典赏析(核心通识)
63,营销学基础(核心通识)
64,拉丁文入门(核心通识)
65,中国当代小说十家讲读(核心通识)
66,跨文化交际和中国文化传播(核心通识)
67,跨文化交际和中国文化传播(核心通识)
68,跨文化交际和中国文化传播(核心通识)
69,古代小说经典赏析(核心通识)
70,跨文化交际和中国文化传播(核心通识)
71,地球、海洋与生命
72,私人定制细胞治疗(核心通识)
73,歌曲赏析与演绎
74,历史社会学(核心通识)
75,食品的营养与安全
76,lyric
77,相对论与时空(核心通识)
78,唐代诗歌漫谈
79,运动营养学
80,运动营养学
81,大学生健康
82,自然地理学(核心通识)
83,Python程序设计基础
84,香港经济与粤港澳大湾区
85,投资信息分析(核心通识)
86,园林设计(核心通识)
87,新媒体素养MOOC(核心通识)
88,现代生命科学与人类社会(核心通识)
89,喵喵喵
90,伟大属于罗马——罗马历史纵览(核心通识)
91,文学与存在
92,昆虫世界与人类社会(核心通识)
93,养生与治未病
94,美国电影：历史、文化与批评(核心通识)
95,图说中国戏剧(核心通识)
96,跨文化交流与管理(核心通识)
97,美容药物学
98,运动损伤的预防与康复
99,数学故事
100,数学故事
101,心理测量与自我认识(核心通识)
102,美容药物学
103,昆虫世界与人类社会(核心通识)
104,日本语与日本文化(核心通识)
105,Python程序设计基础
106,亲子鉴定技术
107,现代生命科学与人类社会(核心通识)
108,临床研究概论(核心通识)
109,中国古典诗文欣赏与创作(核心通识)
110,中国经济
111,《论语》研读(核心通识)
112,中华人民共和国对外关系(核心通识)
113,大众文化导论(核心通识)
114,中华人民共和国对外关系(核心通识)
115,从电影中解读地球(核心通识)
116,Linux应用及实践(核心通识)
117,清宫戏与清代历史文化(核心通识)
118,自然地理学(核心通识)
119,寄生虫世界(核心通识)
120,动物保护与福利
121,现实生活中的生物技术(核心通识)
122,大众文化导论(核心通识)
123,创新思维训练(核心通识)
124,现代生命科学与人类社会(核心通识)
125,诗词地理学(核心通识)
126,现代生命科学与人类社会(进阶)
127,创新方法及应用(核心通识)
128,哲学导论：哲学家们想做什么？(核心通识)
129,历史哲学(核心通识)
130,新产品开发与营销
131,医学营养理论与实践
132,遗传：健康与疾病
133,从纪录片看全球环境问题(核心通识)
134,"植物的""智慧""：植物的适应性进化(核心通识)"
135,中华人民共和国对外关系(核心通识)
136,应对气候变化—后哥本哈根时代(核心通识)
137,从G2到G20：当代中国外交博弈(核心通识)
138,Java程序设计
139,Python程序设计基础
140,中国民乐演奏基础(古筝)
141,美国文明史(核心通识)
142,近代日本思潮及其人物(核心通识)
143,日本语与日本文化(核心通识)
144,高校保健
145,法医学案例分析(核心通识)
146,大数据分析基础(核心通识)
147,高级并行程序设计(核心通识)
148,全球变化(核心通识)
149,古代小说经典赏析(核心通识)
150,自然灾害(核心通识)
151,古文字学(核心通识)
152,税法与公司税务风险(核心通识)
153,跨文化交流与管理(核心通识)
154,高校保健
155,全球变化(核心通识)
156,运动营养学
157,古代小说经典赏析(核心通识)
158,税法与公司税务风险(核心通识)
159,古代小说经典赏析(核心通识)
160,西方古典音乐文化(核心通识)
161,古代小说经典赏析(核心通识)
162,美容药物学(核心通识)
163,大众文化导论(核心通识)
164,合唱作品赏析与实践(初级)
165,欧亚各国城市建设与环保理念
166,生活中的病毒与疾病(核心通识)
167,大学生健康
168,大学日语(一)
169,应对气候变化—后哥本哈根时代(核心通识)
170,创新方法及应用(核心通识)
171,运动营养学
172,古文字学(核心通识)
173,遗传：健康与疾病
174,园艺植物栽培(核心通识)
175,中国古典诗文欣赏与创作(核心通识)
176,西方古典音乐文化(核心通识)
177,影像传播的文化研究
178,古代小说经典赏析(核心通识)
179,古代小说经典赏析(核心通识)
180,从太空看地球
181,日本语与日本文化(核心通识)
182,大学生健康
183,诗词地理学(核心通识)
184,养生与治末病(核心通识)
185,数字城市(核心通识)
186,《论语》研读(核心通识)
187,人体健康学
188,遗传：健康与疾病
189,现代生命科学与人类社会(核心通识)
190,传染病与健康(核心通识)
191,古文字学(核心通识)
192,跨文化交际和中国文化传播(核心通识)
193,古代小说经典赏析(核心通识)
194,《论语》研读(核心通识)
195,中华人民共和国对外关系(核心通识)
196,跨文化交际和中国文化传播(核心通识)
197,跨文化交际和中国文化传播(核心通识)
198,地球资源学(核心通识)
199,人际沟通与人类关系发展(核心通识)
200,Linux应用及实践(核心通识)
201,科学之美
202,《金瓶梅词话》导读(核心通识)
203,四季养生与生物节律(核心通识)
204,网络开发工具与技术(核心通识)
205,西方古典音乐文化(核心通识)
206,新媒体素养MOOC(核心通识)
207,媒体策划与数字编辑(核心通识)
208,中国现代文学经典作家选讲(核心通识)
209,ASP.NET动态网站开发实践
210,信息素养与信息检索通用教程(核心通识)
211,非物质文化遗产与传统戏剧(核心通识)
212,非物质文化遗产与传统戏剧(核心通识)
213,心理测量
214,现代生命科学导论(核心通识)
215,生理学与健康(核心通识)
216,中华人民共和国对外关系(核心通识)
217,地球资源学(核心通识)
218,"植物的""智慧""：植物的适应性进化(核心通识)"
219,中华人民共和国对外关系(核心通识)
220,函数程序设计
221,海洋生物学和海洋生物技术(核心通识)
222,课程和教学：理论、政策和实践
223,从电影中解读地球(核心通识)
224,课程和教学：理论、政策和实践
225,多媒体技术
226,创业学(核心通识)
227,环境纳米科学与技术
228,环境纳米科学与技术
229,环境纳米科学与技术
230,环境纳米科学与技术
231,环境纳米科学与技术
232,现代生物技术导论(核心通识)
233,西方经济学原理及其应用(核心通识)
234,工程制图与CAD
235,大学日语(二)
236,营养与女性健康
237,美容药物学
238,从电影中解读地球(核心通识)
239,发育生物学(核心通识)
240,拉丁文入门(核心通识)
241,大学生健康
242,国家治理与公共预算(核心通识)
243,地球资源学(核心通识)
244,大学生健康
245,美国电影：历史、文化与批评(核心通识)
246,古希腊文明(核心通识)
247,当代国际关系与中国外交(核心通识)
248,网络信息政策法规导论(核心通识)
249,网络开发工具与技术(核心通识)
250,相对论与时空(核心通识)
251,日本语与日本文化(核心通识)
252,跨文化交流与管理(核心通识)
253,英语批判性阅读
254,从纪录片看全球环境问题(核心通识)
255,数字城市(核心通识)
256,中国民乐演奏基础(古筝)
257,昆虫世界与人类社会(核心通识)
258,税法与公司税务风险(核心通识)
259,现代生命科学导论(核心通识)
260,现代生物技术导论(核心通识)
261,英语文学与电影改编(核心通识)
262,美学与批评(核心通识)
263,网络攻击与防御技术(核心通识)
264,从G2到G20：当代中国外交博弈(核心通识)
265,电影中的法律(核心通识)
266,国家治理与公共预算(核心通识)
267,基础免疫学(核心通识)
268,古希腊文明(核心通识)
269,私人定制细胞治疗
270,电影中的法律(核心通识)
271,生命科学史(核心通识)
272,历史哲学(核心通识)
273,人类生态学(核心通识)
274,宇宙学纵览(核心通识)
275,数字城市(核心通识)
276,图说中国戏剧(核心通识)
277,从纪录片看全球环境问题(核心通识)
278,地球科学导论(核心通识)
279,摄影科学与艺术
280,英语文学与电影改编(核心通识)
281,人类生态学(核心通识)
282,从G2到G20：当代中国外交博弈(核心通识)
283,人类生态学(核心通识)
284,美学与批评(核心通识)
285,《住宅、环境和健康》(核心通识)
286,38亿年变迁—地球生命的智慧
287,电脑美术设计——CORELDRAW(13)应用
288,管理运筹学(核心通识)
289,人类生态学(核心通识)
290,网络信息政策法规导论(核心通识)
291,遗传：健康与疾病
292,人体健康学
293,常见传染病的传播和预防
294,法学入门
295,基础免疫学(核心通识)
296,媒介与社会(核心通识)
297,神奇的微生物(核心通识)
298,从G2到G20：当代中国外交博弈(核心通识)
299,美容药物学
300,中国古代社会生活史(核心通识)
301,现代生物技术导论(核心通识)
302,神奇的微生物(核心通识)
303,神奇的微生物(核心通识)
304,鱼与文化(核心通识)
305,网络信息政策法规导论(核心通识)
306,网络信息政策法规导论(核心通识)
307,遗传：健康与疾病
308,中国近现代文学批评大师经典导读
309,个人健康的自我管理能力发展
310,网络信息政策法规导论(核心通识)
311,大科学与大数据的典范：高能物理及中国扮演的角色(核心通识)
312,常见医学和科学知识误区(核心通识)
313,网络信息政策法规导论(核心通识)
314,口腔科学
315,古代中国的思想世界(核心通识)
316,人类生态学(核心通识)
317,"植物的""智慧""：植物的适应性进化(核心通识)"
318,中国古代戏曲名著品鉴(核心通识)
319,园艺植物栽培(核心通识)
320,从G2到G20：当代中国外交博弈(核心通识)
321,低碳城市与绿色能源技术(核心通识)
322,中国近代文化思潮(核心通识)
323,大学日语(一)
324,生态经济学(核心通识)
325,当代世界经济与政治格局(核心通识)
326,现当代文学经典细读(一)(核心通识)
327,西方古典音乐文化(核心通识)
328,从G2到G20：当代中国外交博弈(核心通识)
329,跨文化交际和中国文化传播(核心通识)
330,物理与人文
331,昆虫世界与人类社会(核心通识)
332,马克思的哲学人类学解读(核心通识)
333,叹帝国：先秦秦汉政治史(核心通识)
334,英语传媒与文化(核心通识)
335,食品营养与健康(核心通识)
336,跨文化交际和中国文化传播(核心通识)
337,美国历史与文化(核心通识)
338,中国近代文化思潮(核心通识)
339,图说中国戏剧(核心通识)
340,新材料与人类文明(核心通识)
341,海洋生物学和海洋生物技术(核心通识)
342,当代世界经济与政治格局(核心通识)
343,形象塑造与礼仪训练
344,无碳能源的现在与未来(核心通识)
345,消费者行为学(核心通识)
346,图说中国戏剧(核心通识)
347,中国古典诗文欣赏与创作(核心通识)
348,园林设计(核心通识)
349,HTML5交互动画开发实践教程(核心通识)
350,Python程序设计基础
351,营养与女性健康
