,Unnamed: 0,course code,course name,teacher,comment time,chinese course name,body,mark,workload_num,year,semester,region（mainland2，international-3）
0,0,GE2106,Philosophy and Life: A Dialogue,Hektor,2020-10-23 00:03:00,,"no need to participate in class discussion to get good grades
ur arguments should be supported by explanations in ur essays and presentations
logic is important 
for exams, quote Hektor's book if u have no clue
Hector is funny and charismaticand think!",4.3,2,2017/18,SemA,3
1,1,GE2412,English for the Humanities and Social Sciences,Tiffany Pang,2020-09-22 13:18:00,,"UE個時已經pre-ref咗tiffany, 佢教得好好所以繼續reg佢
Tiffany教書好有熱誠, 幾悶既野都教得得意
俾分唔係鬆, 但又未去到killer level 
跟足佢指示做野正常應該有B功課有Language Discovery Project (25%), Inclass Time-essay (35%), Critical Exploration of Text (25%), Reflection Paper (5%), Class Participation (10%)",3.3,2,2019/20,SemB,
2,2,GE2223,Interpersonal Skills and Positive Personal Development,Chan Wai Man,2020-09-22 13:02:00,積極個人成長及人際技巧,"難reg易讀, reg到就好好讀書啦每堂都有inclass assignment (20%), 唔好走堂
留意翻zoom上堂有時唔洗你做某啲工作紙, 同埋Ray限制咗落堂無耐就無得submit功課",3.7,1,2019/20,SemB,
3,3,GE1341,Life and Health,Lau? Not sure,2020-09-09 17:47:00,,"The easiest subject EVER EVER!!! I I only studied biology at f.3, but I could still catch up the lessons easily. Highly recommend this subject to all of you guys",4,2,2018/19,SemA,3
4,4,GE2303,Save the Earth: Sustainable Development,"LUO Xiaowei, Muhammad Shafique",2020-09-07 20:07:00,,"一個暑sem, 要你學兩個完全無接觸,連聽都無聽過嘅程式,
加mid term & final exam
你自己諗下wordload 大唔大? 難唔難讀? 如果你同我一樣係文科人我勸你另謀高就.
個prof 俾人小完就其中一份asm (BIM,10%)轉咗可以交essay.
presentation 又肯俾你改期
我係好欣賞佢肯改嘅而且唔計attendance, 難度系數即刻由十級變咗八級, 八級自己諗下難唔難, 讀唔讀得過.
分數如下:
mid term test: 2x/75
final: 2x/100
其實個exam 都問得好空泛下, 我作為一個文科人真係覺得好un難下.
兩份test 都仆直我以為自己C硬, 點知都仲有B-, 不幸之中嘅大幸.結論: 走啦唔好望啦, 有得揀我寧願讀maths 或者光纖算.",2.7,4,2019/20,Summer,
5,5,GE2316,"Computing Snapshot, Today and Tomorrow",Tommy WS Chow,2020-09-06 02:40:00,,"2019/20 SEM B 2019/20 SEM B 2019/20 SEM B 
勸世文
今個SEM轉咗Professor 所以以前評價已不可信
内容包括5G, Cloud Computing, AI, Neural Network, Deep Learning, Machine Learning, Clustering, Recommendation System, Text Mining等等
已經脱離DSE ICT同CS1102範圍Exam 30%
其餘70%如下(總共100% 自己乘返Proportion)
1* Show and Sell (Group 10min) 10%
*Additional Show and Sell *Bonus Max 5%
Individual Assignment (Presentation - PPT/Video/Animation 15min) 15%
In-class Quiz (每堂落堂有幾題要答 最後Midterm後所有In-class Quiz Group做一個大Quiz Test 2 Week 12考) 45%
Midterm (Test 1) 15%
Project Report 15% (4-6 pages 唔可以撞自己組Show and Sell題目)",4,4,2018/19,SemB,
6,6,GE2305,Astronomy - The Sky and Us,Gabrielle JING,2020-09-05 20:49:00,星空與人,"horrible tutor, I have ever met.",,0,2017/18,SemA,3
7,7,GE1353,"Science, Buddhism, and Life",Alex Wong,2020-09-03 23:08:00,,Don’t take this course if you want a grade above a B.,2.3,2,2019/20,Summer,3
8,8,GE2324,The Art and Science of Data,Helena,2020-09-03 14:05:00,數據的藝術和科學,"If you want to get A or A+, it is very hard. Helena will take all your scores in this course into consideration. This summer, you may fail to get an A if your score of final is less than 80, even your total score is high enough. You will also fail to get an A+ if your score of final is only a bit higher than 80 while your total score is even higher than 90, which means your score may be even higher than some students who get an A+. That is to say, Helena prefers the final. She tends to pay more attention to the final performance than the weight she told you in the class. This is very ridiculous.
If you only wish to get an A-/B+, you can take this course. The assignments are easy. Prepare the project and final well, you can get what you want.",4,2,2019/20,Summer,3
9,9,GE1350,Essential Mathematics in Daily Life,Jon,2020-09-02 12:54:00,,"唔多嘢做，但係啲topic幾難。有counting, biology, cryptography。仲有啲game theory同set theory。",2.7,2,2019/20,Summer,
