rs-line,rs-line href,rs-line 2,rs-line 3,rs-line 4,rs-line 5,rs-line 6,time,answer,rs-line 7,rs-line 8
B超有没有的情况？15周5天,https://baobao.baidu.com/question/2413faa269371cebdac97b9e3948ebac.html,女,翻,男,孕周16，实际15周5天，今天好奇去做了B超，医生看了大半天说看不清，位置不好，说是孩子背和屁股对着她，让我出去转了15分钟，回来还是背对着。说看不到孩子特征，但是也不敢确定，让我十天以后再去看。(,男,2020年11月04日,1个回答,,
四个多月b超 几率大吗？,https://baobao.baidu.com/question/42eb3534222876abed14e3ffcd6d01e2.html,男,翻,女,今天做b超，医生说是孩，还会不会有盘的可能？四个多月看性别准确率很高吧？,男,2020年09月04日,25个回答,翻,
有没有的可能啊,https://baobao.baidu.com/question/3fc9498774381d4ecf1bcb656aff87aa.html,男,翻,女,孕27周彩超说是宝，真希望可以盘。跪求,男,2020年08月02日,8个回答,翻,
怀孕19周B超孩，有没有宝宝的？,https://baobao.baidu.com/question/60684c8abfa6ed9184f56fd479041704.html,男,男,翻,有宝宝的亲吗？都来留下脚印吧！看看有好多！,男,2020年07月15日,2个回答,翻,女
有的没有！！！,https://baobao.baidu.com/question/ea28d5c702b873cf9b0d5ac875e5779f.html,男,翻,女,,,2020年07月15日,2个回答,,
有没有的例子呀？,https://baobao.baidu.com/question/e98186bf336eb04d006de2cc51bd3bd0.html,男,翻,女,,,2020年07月15日,4个回答,,
14周B超检查，是儿，有盘的吗？已经有两个儿、。求。,https://baobao.baidu.com/question/b8e88262735383fb90c333cea4358288.html,女,翻,女,,,2020年06月19日,3个回答,,女
二胎怀孕20周检查孩，不知道准不准？希望！,https://baobao.baidu.com/question/abf860e094dbb9332b62dec37e0785e9.html,女,女,翻,,,2020年06月19日,0个回答,,男
菩萨保佑，愿我能，生个健康的孩，凑个好字,https://baobao.baidu.com/question/374dfe81a78113f6f1a18ad9331f536f.html,女,翻,男,,,2019年02月28日,4个回答,,男
祈祷成功,https://baobao.baidu.com/question/3fddee79d00d2f59db7dac55c20ad38b.html,男,翻,女,,,2020年05月14日,0个回答,,
26周,https://baobao.baidu.com/question/17d1b5cde1f7d6b9aab26b1e07f803c1.html,女,翻,男,我21周的时候去看4维说是宝！算命的都说我的是宝 😂2胎求 保佑🙏,女,2020年04月11日,0个回答,女,
21周三维的吗？,https://baobao.baidu.com/question/e11dffd7c389b952d142aa671414b529.html,女,翻,男,现在孕22周多，21周加3做四维说是闺，多希望呀，大宝是闺，有做三维的吗？我做梦还梦见生孩，我老公说梦是相反的，大宝当时做梦梦见是生孩的，现在天天有点焦虑，多希望肚子里是宝呀，儿,女,2020年04月08日,0个回答,女,
的多吗？检查两次都是孩，希望,https://baobao.baidu.com/question/efdca19e57054e4a3800c8ebf27cf569.html,男,翻,女,,,2020年03月28日,0个回答,女,男
2019有的吗,https://baobao.baidu.com/question/0d1b4324fccf64f6834ce4e0ea20bd72.html,女,翻,男,,,2020年03月05日,0个回答,,
双胞胎双绒双羊，六个月B超俩孩，跪求，想要儿🙏,https://baobao.baidu.com/question/6e22e2ab76ee23304dc496a6e52a7569.html,男,男,翻,双胞胎双绒双羊，六个月B超俩孩，跪求，想要儿🙏。祈求能盘，想要儿，俩儿都愿意🙏,男,2020年02月27日,4个回答,男,女
怀孕5个月B超检查是孩，我想要一个娃，这种的可能大不,https://baobao.baidu.com/question/e15e986610a794152edf66067110766f.html,男,女,男,,,2020年02月23日,5个回答,,翻
谁要宝，求接走，给我宝，希望,https://baobao.baidu.com/question/1e166bc86b87aae8d1fd9b9b09803f02.html,男,女,男,老大孩，想要个儿，这一胎好不容易要上，现在四个月查是孩，他爸不想要，我舍不得流，希望,男,2020年02月16日,0个回答,女,翻
有机会吗,https://baobao.baidu.com/question/30c9609dfd2d2e90ed1eb099c8e2dfa2.html,女,翻,男,,,2019年12月25日,0个回答,,
五个月照四维说是孩 想凑个好字 会吗,https://baobao.baidu.com/question/cc5ec5d2beab48e8408e7d9e7b06d562.html,女,女,翻,,,2019年12月25日,0个回答,,男
