rs-line 2,rs-line 3,time,answer,rs-line 4
男宝,接,2020年11月04日,5110个回答,
男宝,接,2020年09月21日,3732个回答,
男宝,接,2019年01月13日,332个回答,
接,男宝,2020年05月26日,0个回答,49天b超报告
接,男宝,2018年12月09日,112个回答,今天早上5点18分生了一枚，顺产无侧切。。
男宝,接,2019年06月23日,201个回答,
男宝,接,2019年12月12日,279个回答,
接,男宝,2019年08月31日,64个回答,提前五天，剖腹产下9.2斤小王子一枚！
接,男宝,2020年05月10日,0个回答,
男宝,接,2020年05月01日,0个回答,
接,男宝,2020年03月26日,0个回答,孕33周啦个凑好字。。。有没有经验的宝妈帮看看吖😂是小米奇还是小米妮吖
接,男宝,2020年03月21日,0个回答,
男宝,接,2020年02月16日,0个回答,老大男孩，想要个女儿，这一胎好不容易要上，现在四个月查是男孩，他爸不想要，我舍不得流，希望男翻女
接,男宝,2019年11月13日,156个回答,终于卸货了，，6.1出生，6.1两，
男宝,接,2019年10月17日,320个回答,同上
接,男宝,2019年09月29日,26个回答,
男宝,接,2019年09月16日,317个回答,10月9号凌晨1点42分，顺产无侧切无撕裂，六斤半，10月8号晚上11点半开始阵痛，痛程两个多小时😉
男宝,接,2019年08月22日,1个回答,女宝来我这
接,男宝,2019年08月10日,4个回答,查的结果是男孩，老公不想要，头胎就是，很舍不得很无奈呀，有想要宝的来吧
男宝,接,2019年07月17日,3个回答,二胎怀孕后上班一直面对着电脑九小时，平时垃圾食品也吃没少吃，前两天一直担心宝宝会不会有问题，做产检前都有些担心，现在终于放心啦，四维确定是个健康男孩，二胎好奇男女孕早期就用的美国性别测试卡测的也是男孩
男宝,接,2019年06月19日,160个回答,
男宝,接,2019年06月19日,160个回答,
男宝,接,2019年06月08日,262个回答,大宝是女儿，马上4岁了，自从怀上二宝就怕再是女孩，不是我重男轻女，只是受环境的影响也想要儿女双全，经朋友介绍去抽血，今天收到通知如愿儿子，传好运，希望各位都像我一样成功凑好字，怀女儿当年吐的我就不想活
男宝,接,2019年05月11日,12个回答,现在20+了，前几天去查了还是，大宝也是，生了这个就不打算生了。可是真的想要个小公主噢～有没有宝妈是女宝的，又舍不得打的，我想要，凑双胞胎养。
男宝,接,2019年05月08日,37个回答,中午刚做完四维，老公跟着一起进去看的，宝宝很配合，医生说五器长的很漂亮，像个金童😝😝😝，虽然我和老公一直以来都想要女宝宝，不过这是第一胎，男孩女孩都好，平平安安
男宝,接,2019年04月26日,2个回答,
男宝,接,2019年04月23日,43个回答,
